"Q","total_search","sum_linkCtg","sum_link","total_codefix"
"lx",35,0,8,4
"gea",35,0,1,10
"motor",35,20,4,4
"swl",35,0,12,14
"sheet metal",35,9,22,1
"linear bearings",35,0,9,2
"nozzle",35,7,45,5
"ejector pin",35,27,4,0
"cam",35,14,7,0
"lmu",34,0,17,17
"shfz",34,0,25,14
"gutb",34,0,22,12
"bumpers",34,7,29,3
"turnbuckle",34,1,36,3
"rest button",34,0,0,0
"cbss",33,0,13,16
"sfjt",33,0,18,14
"stw",33,0,11,10
"nhxcc",33,0,0,2
"inch",33,0,12,2
"scs",33,0,14,9
"rack",33,21,3,1
"thrust washer",33,0,28,4
"hex",33,6,14,1
"standoffs",33,8,0,0
"acme",33,0,1,0
"msc",32,0,7,13
"swf",32,0,11,16
"swy",32,0,16,9
"fj",32,0,3,10
"nh",32,0,5,7
"plastic",32,10,6,3
"ball joint",32,0,5,0
"pack",31,0,4,12
"cldm",31,0,12,15
"fwssb",31,0,24,13
"hblsd5",31,0,32,15
"ust",31,0,10,9
"flange bushing",31,3,26,1
"catalog",31,0,0,1
"lfzb",31,0,14,2
"hfs5-2020-420",31,0,24,20
"clip",31,0,20,6
"spherical",31,0,20,6
"threaded pin",31,0,24,3
"steel",31,21,0,0
"hfs8-4040",30,0,12,8
"hnt",30,0,4,16
"sew",30,0,14,3
"tbck",30,0,8,14
"hsf",30,0,1,7
"mts",30,0,4,17
"collars",30,9,14,1
"thrust",30,0,31,5
"stripper bolt",30,10,23,4
"aluminum plate",30,22,7,1
"gas spring",30,13,22,2
"sleeve bearing",30,0,26,2
"pivot",30,0,20,3
"material",30,17,1,0
"bss",29,0,1,4
"hn",29,0,2,16
"fw",29,0,0,10
"sc",29,0,0,11
"epj",29,0,18,9
"sust",29,0,18,16
"mp",29,0,0,15
"timing pulleys",29,4,34,5
"couplings",29,21,2,2
"cbs",28,0,8,18
"knclb",28,0,10,7
"se",28,0,1,12
"ttbu",28,0,11,14
"t",28,0,0,8
"kjp",28,0,2,10
"mt",28,0,0,13
"sfj10-100",28,0,30,27
"sv",28,0,5,8
"threaded",28,8,0,1
"rs",28,1,0,5
"j",28,0,1,15
"lock",28,15,7,1
"msa",28,0,15,4
"hfs3-1515",28,0,32,20
"linear slide",28,13,15,2
"htpk",28,0,1,1
"actuator",28,12,9,0
"guide",28,13,4,0
"geakb",27,0,2,9
"msv",27,0,14,9
"u-cdgh",27,0,6,5
"anbn",27,0,15,14
"jpbb",27,0,14,15
"d",27,0,0,4
"hblt",27,0,9,16
"ssfr",27,0,14,11
"hntpz5-5",27,0,22,16
"spline",27,7,6,2
"machined sheet metal",27,0,31,1
"diamond pin",27,0,36,4
"wasb",27,0,12,10
"cylinder",27,6,7,1
"htj5",27,0,26,17
"pivot pins",27,0,36,7
"scale",27,4,22,3
"bearing nut",27,13,12,2
"pulleys",27,16,4,0
"insert",27,23,0,0
"ejector pins",27,20,5,0
"pss",26,0,0,7
"pl",26,0,2,11
"ssteh",26,0,22,11
"mdzf",26,0,7,14
"misumi",26,0,0,4
"psfr",26,0,10,7
"gjp",26,0,5,10
"sx",26,0,0,5
"shock",26,7,22,4
"set",26,0,1,3
"toggle clamps",26,1,22,3
"wr",26,0,4,13
"pillow block",26,0,25,4
"pcimrs",26,0,6,9
"shoulder screws",26,0,5,2
"bearing housing",26,11,14,4
"angle bracket",26,7,20,4
